Urban area,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013,2014 Q1,2014 Q2,2014 Q3,2014 YTD
St. John's,48,195,140,162,545,111,199,113,423
Other Newfoundland and Labrador,22,56,95,107,280,70,136,83,289
Newfoundland and Labrador Total,70,251,235,269,825,181,335,196,712
Charlottetown,99,215,214,323,851,313,365,486,1164
Other Prince Edward Island,22,37,41,47,147,50,45,24,119
Prince Edward Island Total,121,252,255,370,998,363,410,510,1283
Halifax,313,569,518,547,1947,488,598,546,1632
Other Nova Scotia,98,185,175,124,582,145,185,142,472
Nova Scotia Total,411,754,693,671,2529,633,783,688,2104
Fredericton,80,177,215,140,612,206,171,343,720
Moncton,83,150,151,151,535,124,205,269,598
Saint John,104,121,126,87,438,132,177,246,555
Other New Brunswick,86,134,104,110,434,91,108,105,304
New Brunswick Total,353,582,596,488,2019,553,661,963,2177
Montréal,9979,13501,11723,8744,43947,9045,14398,12840,36283
Québec,572,916,711,674,2873,575,961,719,2255
Ottawa - Gatineau,412,444,363,323,1542,313,441,365,1119
Sherbrooke,214,368,216,201,999,169,254,232,655
Trois-Rivières,37,98,80,148,363,52,83,81,216
Other Québec,488,728,588,458,2262,461,672,617,1750
Quebec Total,11702,16055,13681,10548,51986,10615,16809,14854,42278
Toronto,19876,24154,20169,17502,81701,20316,22046,18122,60484
Ottawa - Gatineau,1390,1764,1495,1366,6015,1405,1587,1287,4279
Hamilton,711,926,704,873,3214,784,955,762,2501
Kitchener - Cambridge - Waterloo,693,791,692,627,2803,643,661,556,1860
London,429,538,597,493,2057,504,619,496,1619
Windsor,329,537,407,400,1673,331,459,368,1158
St. Catharines - Niagara,211,296,217,260,984,220,297,209,726
Oshawa,215,195,242,186,838,208,214,208,630
Guelph,129,170,169,154,622,137,186,162,485
Kingston,68,86,84,81,319,76,107,86,269
Barrie,105,93,100,76,374,92,103,84,279
Brantford,53,49,61,32,195,48,46,54,148
Greater Sudbury,38,59,41,35,173,105,98,43,246
Other Ontario,565,764,593,660,2582,629,713,504,1846
Ontario Total,24812,30422,25571,22745,103550,25498,28091,22941,76530
Winnipeg,2194,3077,2891,2955,11117,3073,4140,3646,10859
Brandon,93,119,102,143,457,102,179,115,396
Other Manitoba,322,390,407,410,1529,522,517,458,1497
Manitoba Total,2609,3586,3400,3508,13103,3697,4836,4219,12752
Saskatoon,730,986,955,1068,3739,1110,1380,1030,3520
Regina,639,1086,876,1054,3655,931,1086,921,2938
Other Saskatchewan,546,810,887,1043,3286,851,1069,827,2747
Saskatchewan Total,1915,2882,2718,3165,10680,2892,3535,2778,9205
Calgary,3998,5317,4201,4088,17604,4775,5678,4768,15221
Edmonton,2843,3610,3359,3047,12859,3762,4771,3632,12165
Wood Buffalo,207,265,226,256,954,317,370,339,1026
Red Deer,179,208,167,164,718,213,236,242,691
Lethbridge,76,148,170,161,555,171,214,164,549
Grande Prairie,69,102,87,75,333,102,178,129,409
Other Alberta,723,932,945,1015,3615,1008,1305,991,3304
Alberta Total,8095,10582,9155,8806,36638,10348,12752,10265,33365
Vancouver,6786,8276,7263,7184,29509,7711,8123,6274,22108
Victoria,215,364,280,333,1192,301,327,403,1031
Abbotsford - Mission,332,299,244,345,1220,344,285,206,835
Kelowna,108,155,140,154,557,168,153,151,472
Nanaimo,35,70,40,60,205,61,67,83,211
Prince George,38,41,54,56,189,65,85,60,210
Kamloops,38,50,63,68,219,60,72,47,179
Other British Columbia,553,879,844,845,3121,853,823,754,2430
British Columbia Total,8105,10134,8928,9045,36212,9563,9935,7978,27476
Whitehorse,--,--,72,103,278,61,77,45,183
Other Yukon,--,--,5,12,38,14,16,10,40
Yukon Total,39,85,77,115,316,75,93,55,223
Yellowknife,--,33,--,45,113,--,38,--,112
Other Northwest Territories,--,17,--,8,37,--,10,--,16
Northwest Territories Total,--,50,24,53,150,38,48,42,128
Nunavut,--,--,--,5,--,9,--,--,21
Province or territory not stated,0,--,--,0,--,0,--,--,6
Total,58257,75639,65336,59788,259020,64465,78298,65497,208260
